frame,cpu_ms,gpu_ms
415,1.9483,2.6821
416,2.2487,3.2633
417,1.9513,3.4241
418,1.9699,3.4952
419,2.5498,3.3176
420,2.1139,3.0319
421,2.5148,3.0987
422,2.4436,2.6149
423,1.9340,2.6430
424,2.1232,4.1502
425,1.9080,4.8944
426,1.9544,3.0758
427,3.4405,3.0124
428,2.6815,2.9982
429,1.7772,2.6534
430,2.2798,2.6766
431,1.9190,4.1482
432,1.9941,4.9014
433,1.9526,3.1062
434,3.4158,2.6245
435,2.6827,2.9245
436,1.8095,3.3949
437,1.9029,2.8590
438,2.2332,2.9128
439,2.6711,5.1881
440,1.5010,3.0536
441,2.2422,2.3887
442,4.2272,3.0171
443,4.5641,2.6270
444,0.0389,2.6378
445,2.7632,4.2577
446,1.9307,4.0374
447,1.9280,2.9261
448,3.5722,2.6277
449,2.2720,2.9657
450,1.9121,2.6520
451,1.8423,2.6258
452,2.2822,2.9023
453,1.9638,3.9228
454,1.8874,3.0832
455,2.2429,2.6838
456,2.9545,2.9561
457,2.3187,2.6453
458,1.9338,2.6325
459,2.2245,2.6017
460,1.9607,3.6767
461,1.8987,5.0863
462,1.8867,3.1430
463,2.9974,2.6730
464,3.3768,2.9448
465,1.4350,2.6738
466,1.9108,2.6597
467,2.2150,3.1993
468,1.9518,4.2254
469,1.9270,3.1190
470,2.6293,2.6980
471,2.8166,2.9813
472,2.2365,3.1191
473,1.9633,2.6418
474,2.2147,2.6960
475,2.1481,4.4476
476,1.8925,4.3113
477,2.0133,3.0535
478,3.7303,2.6806
479,2.0057,3.0379
480,2.1892,2.7111
481,1.9987,4.9863
482,2.3023,4.6671
483,1.9362,3.6684
484,4.2568,2.7955
485,1.7293,2.7227
486,2.1911,2.7523
487,1.9676,3.2183
488,1.9601,2.6383
489,1.9993,3.9342
490,2.4335,4.3723
491,1.9038,3.0932
492,3.2567,2.6464
493,2.3866,3.0039
494,2.1671,3.2320
495,1.9646,2.6921
496,2.2709,4.2046
497,2.2007,4.2279
498,1.9872,3.0651
499,3.4741,2.6556
500,1.9362,2.8397
501,2.2737,3.0861
502,1.8796,2.6441
503,2.1171,2.6725
504,2.1980,3.8730
505,1.9272,5.0552
506,1.9547,3.1920
507,3.1705,2.9391
508,3.1440,3.0011
509,1.6412,2.6485
510,2.1757,2.6159
511,2.0117,3.9342
512,1.9288,5.1267
513,1.9176,3.1068
514,3.2395,2.6475
515,3.1467,3.0074
516,1.5864,2.6481
517,1.9609,2.6902
518,2.2829,3.2445
