frame,cpu_ms,gpu_ms
683,0.5174,0.8439
684,0.5411,0.8452
685,0.5317,0.8551
686,0.5042,0.8586
687,0.5220,0.8455
688,0.5411,0.8418
689,0.5372,0.8482
690,0.5091,0.8530
691,0.5308,0.8548
692,0.5119,0.8761
693,0.5435,0.8705
694,0.5143,0.8495
695,0.6036,0.8429
696,0.4509,0.8544
697,0.5516,0.8507
698,0.4772,0.8115
699,0.5421,0.8518
700,0.5224,0.8440
701,0.4726,0.8359
702,0.5945,0.8406
703,0.4850,0.8393
704,0.4783,0.7693
705,0.5247,0.9786
706,0.5155,1.0095
707,0.4545,0.8916
708,0.7350,0.9684
709,0.7709,0.9469
710,0.6136,1.1536
711,0.7040,1.1276
712,0.6695,0.8601
713,0.8773,0.9631
714,0.7074,1.1005
715,0.4805,0.8436
716,0.6187,0.8542
717,0.6855,0.8540
718,0.5140,0.8456
719,0.5358,0.8551
720,0.5587,0.8530
721,0.4830,0.8537
722,0.5377,0.8615
723,0.5233,0.8422
724,0.5295,0.8520
725,0.5370,0.8524
726,0.5054,0.8538
727,0.5240,0.8423
728,0.5287,0.8229
729,0.5206,1.0655
730,0.5174,0.9761
731,0.5125,0.9195
732,0.7617,0.9063
733,0.6850,1.1115
734,0.6365,1.0979
735,0.6466,0.8643
736,0.8452,0.8804
737,0.7046,0.8492
738,0.5121,0.8437
739,0.5420,0.8545
740,0.5507,0.8545
741,0.4833,0.8531
742,0.5360,0.8450
743,0.5324,0.8373
744,0.5193,0.8573
745,0.5169,0.9874
746,0.5114,1.0865
747,0.5320,0.8381
748,0.6425,0.8395
749,0.6617,0.8411
750,0.5118,0.8585
751,0.5159,0.8861
752,0.5153,0.8498
753,0.5383,0.8386
754,0.5399,0.8518
755,0.5463,0.8589
756,0.5030,0.8437
757,0.5313,0.8482
758,0.5235,1.0153
759,0.4967,1.0637
760,0.5438,0.8361
761,0.6559,0.8318
762,0.5658,0.8478
763,0.5050,0.8519
764,0.5108,0.8815
765,0.5473,0.8633
766,0.5153,0.8497
767,0.5499,0.8385
768,0.5255,0.8385
769,0.5112,0.8319
770,0.4991,0.8457
771,0.5932,0.8525
772,0.4278,0.8442
773,0.5482,1.0538
774,0.5223,1.1216
775,0.5094,0.8606
776,0.7285,0.8445
777,0.6217,0.8494
778,0.5300,0.8285
779,0.5001,0.8527
780,0.5199,0.8525
781,0.5005,0.8398
782,0.5320,0.9285
