frame,cpu_ms,gpu_ms
547,16.6625,3.1107
548,16.6967,3.1057
549,16.6711,3.1040
550,16.6782,3.1058
551,16.6692,3.1034
552,16.6841,3.1040
553,16.6868,3.1031
554,16.7001,3.1296
555,16.6632,3.1072
556,16.6725,1.2701
557,16.6787,1.1002
558,16.6852,1.1058
559,16.6821,1.2290
560,16.6988,1.3988
561,16.6679,1.4555
562,16.6916,1.7538
563,16.6626,2.0681
564,16.6849,3.9148
565,16.6633,3.4239
566,16.6999,3.1087
567,16.6746,3.1055
568,16.6892,3.1079
569,16.6760,3.1024
570,16.6776,4.4965
571,16.6707,3.5125
572,16.6832,3.1077
573,16.6854,3.1056
574,16.6834,3.1873
575,16.6799,3.1193
576,16.6955,4.5172
577,16.6612,3.5123
578,16.6823,3.1206
579,16.6733,3.1066
580,16.6957,3.1045
581,16.6682,3.1281
582,16.6950,3.1050
583,16.7072,3.1041
584,16.6575,4.4876
585,16.6583,3.5128
586,16.6948,3.1620
587,16.6774,3.2142
588,16.6929,3.0992
589,16.6849,3.1729
590,16.7314,2.8813
591,16.5992,2.7833
592,16.7006,3.1613
593,16.6744,1.1017
594,16.6943,1.2318
595,16.6681,1.1675
596,16.6782,1.3902
597,16.6592,1.2576
598,16.7270,1.5647
599,16.6525,1.5528
600,16.6782,2.3345
601,16.6830,3.1070
602,16.6816,3.1129
603,16.6853,3.1207
